course_id	result_id	name	date	dist(km)	climb(m)	score
178	286	Chevy Chase	3-7-2010	32.2	1219.0	3597.998065
539	282	Cliffhanger	3-7-2010	4.0	105.0	2284.999532
269	466	Tockholes	3-7-2010	9.3	335.0	1407.0053
294	264	Skiddaw	4-7-2010	14.5	823.0	3286.006166
378	259	Hathersage Gala	5-7-2010	7.2	320.0	2330.998144
238	353	Saltwell Harriers	6-7-2010	8.8	305.0	4725.999513
652	411	Reston Scar Scamper	7-7-2010	6.0	300.0	2459.995524
703	257	Stirton	7-7-2010	8.8	366.0	700.998854
660	443	Bull Hill	8-7-2010	8.8	335.0	3524.9978
853	274	Addingham Gala	10-7-2010	9.3	305.0	2347.999824
845	267	Baildon Carnival	10-7-2010	5.6	137.0	2051.018037
750	272	Thurlstone Chase	10-7-2010	6.4	244.0	1370.015807
253	285	Warton Crag	10-7-2010	9.3	183.0	2070.996963
576	280	Wasdale	10-7-2010	33.8	2743.0	10881.003949
180	284	Bollington Nostalgia Race	11-7-2010	11.4	366.0	1153.994951
415	268	Broomhead Chase	11-7-2010	5.6	244.0	1793.017005
379	354	Peak Forest	11-7-2010	9.7	198.0	16384.999976
277	279	Waughs Well	13-7-2010	6.4	305.0	1896.014052
384	406	Stiperstones	14-7-2010	5.1	244.0	2440.013659
181	290	Widdop	14-7-2010	11.3	366.0	3044.991096
231	332	Beacon Hill	15-7-2010	9.7	457.0	1807.008864
380	291	Coniston Country Fair	18-7-2010	9.7	732.0	3741.99713
545	293	Holme Moss	18-7-2010	27.4	1219.0	8658.010213
548	299	Blisco Dash	21-7-2010	8.0	610.0	2472.000367
577	336	Sheldon	22-7-2010	6.4	162.0	687.014284
757	297	Turnslack	24-7-2010	12.9	610.0	3855.998952
623	342	Gritstone Tryal	25-7-2010	24.1	610.0	7230.00253
653	301	Kentmere	25-7-2010	19.1	1006.0	1426.977376
672	347	Wormstones	25-7-2010	8.0	411.0	2038.992029
439	382	Harrock Hill 3	28-7-2010	8.4	274.0	4809.998805
203	337	Dollar	31-7-2010	15.1	960.0	2542.004902
382	343	Round Hill	1-8-2010	14.1	335.0	3251.999728
255	346	Bradwell	3-8-2010	6.4	229.0	1480.005478
396	345	Crow Hill Reverse	3-8-2010	8.0	305.0	1877.99278
182	334	Cracken Edge	4-8-2010	11.3	442.0	31292.000567
609	348	Chevin Hill	5-8-2010	7.2	243.0	1784.989481
454	473	Osmotherley Show	7-8-2010	8.8	320.0	1571.001568
475	361	Bingley Show	8-8-2010	4.8	175.0	2365.988951
751	359	Boulsworth	8-8-2010	11.3	427.0	914.989338
244	470	Pilgrims Cross	11-8-2010	9.7	335.0	6939.998443
594	439	Broughton Mills	14-8-2010	5.6	396.0	2116.995998
678	442	Belper Rugby Rover	15-8-2010	29.9	571.0	4354.013773
394	441	Lakeland Country Fair	15-8-2010	10.5	716.0	2760.023269
271	384	Worsthorne Moor	15-8-2010	10.9	274.0	1976.017632
186	440	Eccles Pike	18-8-2010	4.8	249.0	1080.016469
187	469	Golf Ball	18-8-2010	8.8	244.0	2425.996835
597	482	Denis Stitt Memorial Race	19-8-2010	6.0	372.0	3844.001245
738	450	Brecon Beacons	21-8-2010	30.6	1372.0	1693.997242
598	451	Burnsall Classic	21-8-2010	2.4	274.0	2306.007203
599	467	Darwen Gala	21-8-2010	6.0	283.0	1363.009097
552	449	Sedbergh Hills	22-8-2010	22.5	1829.0	1390.997844
440	494	Harrock Hill 4	25-8-2010	8.4	274.0	2365.99763
459	483	Round Latrigg	25-8-2010	8.8	244.0	3186.997654
368	523	Arnison Crag Horseshoe	28-8-2010	4.8	305.0	2194.998964
603	496	Dentdale	28-8-2010	4.7	422.0	2046.001243
847	501	Oke Croak	28-8-2010	16.7	628.0	2572.008469
604	485	Pendleton	28-8-2010	8.0	457.0	2170.006898
610	522	Bradbourne	29-8-2010	8.7	259.0	2061.989888
655	531	Grasmere Senior Guides Race	29-8-2010	2.4	274.0	8272.002735
859	507	Shipman Knotts	31-8-2010	6.4	396.0	1556.015993
190	503	Derek Price Memorial Grisedale Horseshoe	4-9-2010	16.1	1524.0	1432.028452
625	492	Exterminator	5-9-2010	25.7	1219.0	786.123916
308	506	Ilkley Incline	8-9-2010	1.6	171.0	1488.008409
759	516	Good Shepherd	11-9-2010	22.5	610.0	6322.002436
633	508	Great Westmorland Trail	11-9-2010	12.1	366.0	1951.998433
626	514	Hodder Valley	11-9-2010	12.1	457.0	7033.996941
635	515	Settle Loop Tough Trail	12-9-2010	13.7	366.0	1135.997045
562	524	Stretton Skyline	12-9-2010	30.6	1356.0	3309.999991
311	519	Yorkshireman Off Road Marathon	12-9-2010	42.2	914.0	3187.002557
617	517	Chevin	13-9-2010	4.7	183.0	1990.024105
193	525	Lantern Pike	18-9-2010	8.0	320.0	2039.992242
235	978	St  Boniface Fell	18-9-2010	4.8	236.0	1605.997912
549	530	Three Shires	18-9-2010	20.9	1219.0	2009.036708
236	979	Ventnor Horseshoe	18-9-2010	11.3	457.0	2626.003364
237	980	Wroxall Round	19-9-2010	20.9	457.0	2999.993319
402	532	Thieveley Pike	25-9-2010	6.9	396.0	6949.007191
640	537	Whernside	25-9-2010	19.5	906.0	1911.004279
679	536	30th Butser Hill Challenge	26-9-2010	7.2	271.0	10646.004384
261	551	Arenig Fawr	3-10-2010	10.8	579.0	3370.002255
704	542	Beefys Nab	10-10-2010	4.8	198.0	1687.03499
674	547	Great Whernside	30-10-2010	6.4	474.0	2991.987415
705	548	Bronte Way	31-10-2010	12.9	351.0	1196.999742
407	556	Shepherds Skyline	6-11-2010	9.7	351.0	2426.055889
258	561	Cop Hill	7-11-2010	11.3	274.0	1481.016925
646	552	Leg It Round Lathkil	14-11-2010	11.4	290.0	994.007091
648	554	Roaches	14-11-2010	24.1	1128.0	7464.00488
220	557	Penmaenmawr	20-11-2010	16.1	594.0	2244.129381
649	549	Rivock Edge	21-11-2010	10.1	255.0	12111.006616
194	560	David Staff Memorial Race	28-11-2010	8.2	366.0	4421.998865
1290	558	Famous Grouse	28-11-2010	8.0	366.0	1185.025729
827	564	Bolton By Bowland	5-12-2010	12.9	244.0	1947.018719
664	563	Cardington Cracker	5-12-2010	14.5	792.0	1876.003725
196	562	Gravy Pud 5	5-12-2010	8.0	305.0	10138.04211
824	569	Cruim Leacainn	26-12-2010	10.0	274.0	4430.017987
667	568	Whinberry Naze	26-12-2010	6.4	229.0	2003.990339
1096	573	Captain Cooks Races	1-1-2011	8.8	229.0	3608.006808
1416	571	Giants Tooth	1-1-2011	4.8	122.0	2194.007578
1117	574	Hillforts And Headaches	1-1-2011	4.8	311.0	1292.01311
954	577	Nine Standards	1-1-2011	12.9	549.0	3013.996067
1326	575	St Johns Fell	1-1-2011	4.8	274.0	3949.012662
1095	699	Clay Bank East	9-1-2011	9.7	335.0	1236.987144
878	758	Trig Point	9-1-2011	24.1	457.0	2307.015095
1279	759	Ashurst Beacon	15-1-2011	9.5	290.0	432.034035
239	580	Simonside Cairns	16-1-2011	17.7	539.0	1505.985564
1192	579	White Holme Circular	16-1-2011	19.3	366.0	1564.992674
1061	614	Blakes Heaven	29-1-2011	6.8	503.0	3015.003991
1333	585	Greeba Fell	29-1-2011	14.5	762.0	2259.0116
1137	615	Tigger Tor	30-1-2011	15.3	533.0	4228.043838
1053	586	Carding Mill Canter	5-2-2011	6.4	549.0	2739.999622
917	694	Tarren Hendre	12-2-2011	9.7	610.0	2384.995153
1045	594	Wadsworth Trog	12-2-2011	32.2	1219.0	1767.000897
1337	603	Baldwin Valleys	19-2-2011	13.7	762.0	1694.013555
1191	598	Ovenden	19-2-2011	12.9	366.0	2122.991388
1153	602	Quantocks	19-2-2011	11.3	518.0	186.620395
1350	596	Britains Worst Fell Race	20-2-2011	27.4	914.0	935.051284
1166	599	Noonstone	26-2-2011	14.5	701.0	3002.998189
1183	604	Black Combe	5-3-2011	12.9	1036.0	4844.003107
1300	611	Slieve Gullion	5-3-2011	6.9	460.0	6233.002799
1057	612	Titterstone Clee	5-3-2011	4.0	229.0	1907.011488
1162	676	Bishop Hill	6-3-2011	4.0	305.0	178679.999986
1278	610	Cloud Nine	6-3-2011	14.5	381.0	3986.997909
1054	605	Long Mynd Valleys	6-3-2011	18.5	1372.0	5038.002286
1237	617	Glenariff	12-3-2011	9.7	335.0	4334.998657
1193	619	Windmills Whizz	12-3-2011	11.3	244.0	2890.99717
1334	621	Ellan Vannin	13-3-2011	20.1	1067.0	2167.99987
1412	618	Ian Roberts	13-3-2011	9.5	274.0	2205.995332
919	682	Yr Aran	19-3-2011	16.1	945.0	1581.024885
1046	625	Brough Law	20-3-2011	8.0	381.0	1983.018212
1373	624	Heptonstall	20-3-2011	24.1	1006.0	2199.009771
1380	627	Wolfs Pit	20-3-2011	9.3	408.0	6949.003249
1176	629	Causey Pike	26-3-2011	7.2	543.0	2110.023864
1049	628	Midgley Moor	26-3-2011	8.0	381.0	2896.003947
1252	685	Don Morrison Memorial Edale Skyline	27-3-2011	33.8	1372.0	1586.989128
928	630	Trunce 1	28-3-2011	6.4	168.0	1880.046183
1327	840	Snaefell	2-4-2011	8.0	579.0	6875.99655
1420	635	Blubberhouses Moor 25	3-4-2011	40.2	829.0	2854.990301
1318	637	Lads Leap	3-4-2011	9.5	518.0	1217.99745
1208	651	Grisedale Grind	6-4-2011	4.0	475.0	1927.01092
1301	644	Mourne Peaks	9-4-2011	20.1	1890.0	2453.024033
960	687	Sugar Loaf	9-4-2011	11.3	526.0	2257.02287
1115	640	Wardle Skyline	9-4-2011	11.3	381.0	2845.002869
977	636	Loughrigg	13-4-2011	6.4	305.0	3027.004863
1395	641	Coledale Horseshoe	16-4-2011	14.5	914.0	17116.001752
1403	710	Screel	16-4-2011	6.4	396.0	2358.024045
929	693	Trunce 2	18-4-2011	6.4	168.0	1689.011337
989	650	Hartcliff Hill	21-4-2011	4.0	152.0	5454.002773
1332	647	Half Manx Mountain Marathon	23-4-2011	20.9	792.0	1868.03521
1329	646	Manx Mountain Marathon	23-4-2011	50.7	2438.0	85260.000682
983	715	Rivington Pike	23-4-2011	5.2	213.0	2544.031963
1209	717	Lords Seat	27-4-2011	8.0	427.0	1816.99353
963	756	Wrekin Streak	27-4-2011	4.4	247.0	6307.005563
914	733	Coniston	30-4-2011	14.5	1067.0	3577.006392
1281	719	Stuc A Chroin 5000	30-4-2011	22.5	1524.0	2243.005943
1048	720	Three Peaks	30-4-2011	37.5	1609.0	1847.994774
1113	652	Great Hameldon	1-5-2011	9.7	335.0	1064.008817
1243	654	Coiners	2-5-2011	11.3	335.0	2210.029531
1147	688	Caw	4-5-2011	9.7	549.0	9409.012743
1141	1261	Dockray - Hartside	4-5-2011	9.7	610.0	9569.005615
1372	655	Flower Scar	4-5-2011	6.4	427.0	3289.002022
1343	663	Lothersdale	4-5-2011	5.8	183.0	2135.002163
1255	721	Tigers Todger	4-5-2011	9.7	268.0	1828.016986
1002	722	Belmont Winter Hill	7-5-2011	7.2	305.0	3301.003047
1394	670	Buttermere Sailbeck	7-5-2011	15.3	1417.0	8872.998409
1041	668	Cressbrook Crawl	7-5-2011	10.5	335.0	1019.966777
986	669	Pendle Cloughs	7-5-2011	22.5	1250.0	1367.997415
1220	736	Bluebell Run	8-5-2011	8.0	366.0	2089.012212
1467	671	Cheviot Summit	8-5-2011	9.7	816.0	3259.000507
1319	672	Crowden Horseshoe	8-5-2011	12.9	518.0	2576.023618
930	737	Trunce 3	9-5-2011	6.4	168.0	1319.014956
1188	686	Burbage Skyline	10-5-2011	9.3	366.0	11552.00741
1207	689	Jack Bloor Race	10-5-2011	8.4	351.0	2925.99966
956	755	Caradoc Classic	11-5-2011	5.6	268.0	936.010321
1340	727	Rainow 5	11-5-2011	8.0	229.0	2298.002098
876	692	Bollington Festival 3 Peaks	14-5-2011	9.0	366.0	2360.999806
898	802	Fairfield Horseshoe	14-5-2011	14.5	914.0	2766.995047
1015	731	Mearley Clough	14-5-2011	5.6	366.0	1514.956694
1386	708	Mount Famine	14-5-2011	8.0	564.0	1931.994547
1335	740	Carraghan Fell	17-5-2011	4.0	335.0	2002.992785
1379	743	Stanhill	17-5-2011	8.0	244.0	6805.000966
1264	726	Blackstone Edge	18-5-2011	5.6	366.0	4235.002007
984	744	Latrigg	18-5-2011	4.8	290.0	6390.014771
1262	728	New Dungeon Ghyll	21-5-2011	5.6	640.0	2876.007399
1150	747	Old Counties Tops	21-5-2011	59.5	3048.0	4288.996024
931	738	Trunce 4	23-5-2011	6.4	168.0	1811.012021
1378	749	Coppice	24-5-2011	8.0	183.0	2567.998497
1026	752	Totley Moor	24-5-2011	8.0	442.0	2272.994049
1307	942	Harrock Hill 1	25-5-2011	8.4	274.0	1726.004462
1114	753	Vanessa Chappell	25-5-2011	9.0	401.0	1378.997861
918	768	Cader Idris	28-5-2011	16.9	914.0	3146.988819
1401	769	Hutton Roof Crags	28-5-2011	11.3	396.0	1443.999787
1306	735	Intercounties Championship - Broughton Heights	28-5-2011	10.0	700.0	2242.996118
923	761	Jura	28-5-2011	27.4	2347.0	1088.009443
1119	770	Helvellyn And The Dodds	29-5-2011	24.1	1337.0	3524.001962
988	762	Austwick Amble	30-5-2011	12.9	366.0	1973.997246
1104	774	Shutlingsloe	30-5-2011	3.2	274.0	2226.056783
1219	763	Batch Bash	1-6-2011	4.8	305.0	5675.005431
1100	764	Blencathra	1-6-2011	12.9	823.0	1030.009448
1197	776	Otley Chevin	1-6-2011	5.6	274.0	3798.004632
887	780	Hendersons End	2-6-2011	9.3	244.0	5668.000407
1312	945	Alwinton	4-6-2011	22.5	884.0	8202.014527
1028	781	Duddon	4-6-2011	29.0	1829.0	2858.014299
1025	779	Pen Y Ghent	4-6-2011	9.5	564.0	1096.995501
1000	785	Wharfedale Off Road Marathon	4-6-2011	40.2	792.0	2305.00417
1120	778	Wincle Trout Run	4-6-2011	9.7	305.0	1812.013884
974	787	Edenfield	5-6-2011	12.1	488.0	9834.011493
1078	788	Yetholm	5-6-2011	12.9	762.0	1844.007108
1108	789	Paddys Pole	7-6-2011	6.0	335.0	2573.015263
880	800	Boars Head	8-6-2011	12.9	403.0	1597.003852
1138	793	Calver Peak	8-6-2011	8.0	274.0	1668.006802
1360	801	Abbey Anniversary	9-6-2011	8.0	549.0	2317.995761
973	791	Hebden Bridge	9-6-2011	9.5	351.0	2404.996207
1132	849	Foel Fras	11-6-2011	19.3	914.0	1114.995975
979	858	Traprain Law	11-6-2011	10.5	213.0	25553.001113
938	798	Weets 40th Anniversary	11-6-2011	8.8	549.0	1801.012714
1143	803	Knowl Hill	12-6-2011	9.7	396.0	2189.000257
1389	792	Shining Cliff Woods 3	12-6-2011	8.5	267.0	3188.006678
1128	1767	Wharmton Dash	12-6-2011	3.2	183.0	11629.005537
1377	860	Moleside	14-6-2011	4.8	244.0	88200.000407
1251	810	Kettleshulme	15-6-2011	9.7	335.0	1331.993658
1413	804	Tebay	15-6-2011	12.9	914.0	2038.010677
1136	821	Grindleford	16-6-2011	7.2	152.0	2167.995377
948	831	Wicken Hill Whizz	17-6-2011	4.8	305.0	3413.000499
1383	819	Buckden Pike	18-6-2011	6.4	457.0	1285.996309
1474	805	Cononley	18-6-2011	4.8	292.0	1316.018461
1411	823	Great Hill Race	18-6-2011	9.3	396.0	2675.002955
1382	898	Great Lakes Run	18-6-2011	20.9	2134.0	7439.014963
1348	824	James Blakeley Fell Race	18-6-2011	4.8	274.0	1976.004765
1287	851	Moel Hebog	18-6-2011	6.4	732.0	1674.992538
949	830	Reservoir Bogs	18-6-2011	13.7	533.0	838.033549
1303	820	Flagstaff To Carlingford	19-6-2011	16.6	951.0	1951.010762
913	809	Kinder Trog	19-6-2011	25.7	1064.0	4819.013163
1186	829	Settle Hills	19-6-2011	11.3	396.0	1418.005638
1375	806	Sutton Pinnacles	19-6-2011	9.0	271.0	4388.002046
932	825	Trunce 5	20-6-2011	6.4	168.0	1955.994333
1019	826	Calton	21-6-2011	8.8	244.0	5894.001146
1308	943	Harrock Hill 2	22-6-2011	8.4	274.0	1985.982143
1234	852	Hotfoot Up Famau	22-6-2011	5.6	366.0	1077.008439
1056	828	Pontesbury	22-6-2011	4.8	354.0	1285.996309
909	827	Riber Run	22-6-2011	8.0	305.0	1897.024279
1352	846	Tideswell	24-6-2011	7.1	259.0	2336.006042
1478	842	Comptons Cross	25-6-2011	14.5	274.0	2212.990603
976	843	Whaley Waltz	25-6-2011	9.3	274.0	5861.001784
1341	865	Langley Fete	26-6-2011	4.7	198.0	3364.007231
1226	855	Loughrigg And Silverhowe Chase	26-6-2011	13.7	771.0	2061.005566
1012	854	Moel-y-gamelin	26-6-2011	15.3	725.0	3048.000114
1313	944	Windy Gyle	26-6-2011	14.5	549.0	2668.999942
875	866	Cragg Vale	29-6-2011	6.4	244.0	3031.010762
1043	871	Eddies Revenge	29-6-2011	6.1	323.0	2962.006473
888	891	Chevy Chase	2-7-2011	32.2	1219.0	2121.996034
1200	874	Oakworth Haul	2-7-2011	8.0	198.0	3058.001995
915	894	Hathersage Gala	4-7-2011	7.2	320.0	940.023304
874	900	Saltwell Harriers	5-7-2011	8.8	305.0	10165.002389
1222	910	Reston Scar Scamper	6-7-2011	6.0	300.0	8160.010035
1437	920	Baildon Carnival	9-7-2011	5.6	152.0	2591.01923
1483	872	Heptonstall Festival	9-7-2011	9.7	457.0	2213.00762
884	892	Tal Y Fan	9-7-2011	12.9	732.0	9330.002449
1256	882	Wasdale	9-7-2011	33.8	2743.0	8333.001572
873	958	Bampton	10-7-2011	8.8	244.0	108599.999985
927	893	Bollington Nostalgia Race	10-7-2011	11.4	366.0	10132.004266
1042	883	Peak Forest	10-7-2011	9.7	198.0	1026.01867
980	876	Waughs Well	12-7-2011	6.4	305.0	1064.01091
1055	878	Stiperstones	13-7-2011	5.1	244.0	1405.013659
1345	879	Stirton	13-7-2011	8.8	366.0	1385.009416
1118	1012	Beacon Hill	14-7-2011	9.7	457.0	2819.993613
1246	907	Bull Hill	14-7-2011	8.8	335.0	74.157365
951	897	Holme Moss	17-7-2011	27.4	1219.0	2291.997321
1223	881	Kentmere	17-7-2011	19.1	1006.0	3000.995332
1426	896	Oldfield	17-7-2011	8.8	168.0	7834.00779
1229	912	Blisco Dash	20-7-2011	8.0	610.0	3337.999217
1073	909	Sheldon	21-7-2011	6.4	162.0	7511.003269
1263	916	Turnslack	23-7-2011	12.9	610.0	1328.006591
1051	924	Great Hucklow	24-7-2011	9.8	338.0	6064.010064
1195	925	Allan Greenwoods 50th Birthday Bash	26-7-2011	8.0	305.0	3489.990096
1224	919	Heart Of The Lakes Rydal Round	28-7-2011	14.5	914.0	97560.000223
1328	1025	North Barrule	30-7-2011	5.6	533.0	4731.001989
1052	913	Whittle Pike	30-7-2011	8.2	427.0	2581.996862
1244	906	Bradwell	2-8-2011	6.0	229.0	938.030003
1170	933	Cracken Edge	3-8-2011	11.3	442.0	19329.000251
1036	911	Hailstorm Hill	3-8-2011	10.5	366.0	2627.994123
1428	941	Milford Chevin 1	4-8-2011	7.2	243.0	882.995558
1468	934	Cutthroat	5-8-2011	9.5	347.0	9664.000404
1316	931	Great West	6-8-2011	8.0	415.0	2513.990107
1067	930	Long Tour Of Bradwell	6-8-2011	49.9	1920.0	2242.993687
907	928	Osmotherley Show	6-8-2011	8.8	320.0	1904.000564
1446	926	Teggs Nose	6-8-2011	12.1	488.0	3235.003361
968	927	Round Hill	7-8-2011	14.1	335.0	923.046562
1142	1046	Worsthorne Moor	7-8-2011	10.9	274.0	6304.006491
944	938	Boulsworth	14-8-2011	12.1	427.0	1312.001061
969	946	Eccles Pike	17-8-2011	4.8	249.0	865.34366
952	954	Denis Stitt Memorial Race	18-8-2011	6.0	372.0	4435.998912
1406	960	Weasdale Horseshoe	20-8-2011	12.9	610.0	2229.031185
1227	1133	Lakeland Country Fair	21-8-2011	10.5	716.0	1991.997789
1163	1132	Lomonds Of Fife	21-8-2011	14.5	762.0	1365.00026
1297	952	Sedbergh Hills	21-8-2011	22.5	1829.0	1628.011881
1006	985	Shipman Knotts	23-8-2011	6.4	396.0	1956.995503
1321	984	Chunal	24-8-2011	6.4	290.0	1450.004536
1310	1130	Harrock Hill 4	24-8-2011	8.4	274.0	3177.002186
1159	961	Ragleth Inn	24-8-2011	6.4	488.0	31397.999334
1177	986	Round Latrigg	24-8-2011	8.8	244.0	12516.003484
1285	1129	Tryfan Downhill Dash	24-8-2011	1.0	-671.0	2448.994702
1367	971	Arnison Horseshoe	27-8-2011	4.8	305.0	11166.008684
1231	1128	Donard - Commedagh	27-8-2011	10.5	1006.0	2927.00252
1293	964	Dufton Show	27-8-2011	8.0	457.0	2745.004955
1152	972	Rise Hill	27-8-2011	4.7	422.0	7429.000697
1422	969	Bradbourne	28-8-2011	8.7	259.0	3185.997966
1288	1126	Cnicht	28-8-2011	7.2	564.0	1281.996932
1225	982	Grasmere Senior Guides Race	28-8-2011	2.4	274.0	1857.013088
1448	1153	Great Longstone Chase	2-9-2011	7.7	290.0	2410.011989
900	1037	Ben Nevis	3-9-2011	16.1	1343.0	4368.001908
885	996	Derek Price Memorial Grisedale Horseshoe	3-9-2011	16.1	1524.0	5311.024
1507	987	Hesket Newmarket Show	3-9-2011	11.3	472.0	3541.028517
1035	1013	Longshaw Sheepdog Trials	3-9-2011	9.7	305.0	1655.006347
1204	990	Exterminator	4-9-2011	25.7	1219.0	7954.998531
